time,gen,forecast_day_ahead
2019-04-16T11:00:00.0,564,526
2019-04-16T12:00:00.0,507,498
2019-04-16T13:00:00.0,433,462
2019-04-16T14:00:00.0,464,424
2019-04-16T15:00:00.0,475,390
2019-04-16T16:00:00.0,398,378
2019-04-16T17:00:00.0,340,399
2019-04-16T18:00:00.0,307,446
2019-04-16T19:00:00.0,429,513
2019-04-16T20:00:00.0,645,592
2019-04-16T21:00:00.0,670,666
2019-04-16T22:00:00.0,770,723
2019-04-16T23:00:00.0,863,765
2019-04-17T00:00:00.0,904,856
2019-04-17T01:00:00.0,838,794
2019-04-17T02:00:00.0,769,721
2019-04-17T03:00:00.0,726,680
2019-04-17T04:00:00.0,696,655
2019-04-17T05:00:00.0,704,661
2019-04-17T06:00:00.0,669,633
2019-04-17T07:00:00.0,635,596
2019-04-17T08:00:00.0,558,563
2019-04-17T09:00:00.0,505,527
2019-04-17T10:00:00.0,468,501
2019-04-17T11:00:00.0,451,471
2019-04-17T12:00:00.0,414,437
2019-04-17T13:00:00.0,444,392
2019-04-17T14:00:00.0,468,336
2019-04-17T15:00:00.0,444,286
2019-04-17T16:00:00.0,380,257
2019-04-17T17:00:00.0,220,258
2019-04-17T18:00:00.0,309,284
2019-04-17T19:00:00.0,447,321
2019-04-17T20:00:00.0,478,357
2019-04-17T21:00:00.0,509,377
2019-04-17T22:00:00.0,565,382
2019-04-17T23:00:00.0,550,377
2019-04-18T00:00:00.0,426,413
2019-04-18T01:00:00.0,444,425
2019-04-18T02:00:00.0,433,415
2019-04-18T03:00:00.0,399,385
2019-04-18T04:00:00.0,328,319
2019-04-18T05:00:00.0,359,342
2019-04-18T06:00:00.0,343,333
2019-04-18T07:00:00.0,290,284
2019-04-18T08:00:00.0,309,296
2019-04-18T09:00:00.0,384,308
2019-04-18T10:00:00.0,357,282
2019-04-18T11:00:00.0,342,240
2019-04-18T12:00:00.0,350,208
2019-04-18T13:00:00.0,303,186
2019-04-18T14:00:00.0,218,176
2019-04-18T15:00:00.0,186,181
2019-04-18T16:00:00.0,230,197
2019-04-18T17:00:00.0,309,225
2019-04-18T18:00:00.0,376,256
2019-04-18T19:00:00.0,341,289
2019-04-18T20:00:00.0,343,318
2019-04-18T21:00:00.0,321,328
2019-04-18T22:00:00.0,308,319
2019-04-18T23:00:00.0,351,303
2019-04-19T00:00:00.0,362,357
2019-04-19T01:00:00.0,278,278
2019-04-19T02:00:00.0,215,205
2019-04-19T03:00:00.0,197,183
2019-04-19T04:00:00.0,187,175
2019-04-19T05:00:00.0,193,177
2019-04-19T06:00:00.0,201,184
2019-04-19T07:00:00.0,190,182
2019-04-19T08:00:00.0,182,168
2019-04-19T09:00:00.0,139,140
2019-04-19T10:00:00.0,96,121
2019-04-19T11:00:00.0,90,100
2019-04-19T12:00:00.0,84,78
2019-04-19T13:00:00.0,71,60
2019-04-19T14:00:00.0,86,41
2019-04-19T15:00:00.0,81,28
2019-04-19T16:00:00.0,48,22
2019-04-19T17:00:00.0,37,22
2019-04-19T18:00:00.0,35,23
2019-04-19T19:00:00.0,33,30
2019-04-19T20:00:00.0,26,50
2019-04-19T21:00:00.0,26,75
2019-04-19T22:00:00.0,64,90
2019-04-19T23:00:00.0,144,91
2019-04-20T00:00:00.0,134,135
2019-04-20T01:00:00.0,106,102
2019-04-20T02:00:00.0,70,70
2019-04-20T03:00:00.0,54,52
2019-04-20T04:00:00.0,52,49
2019-04-20T05:00:00.0,41,43
2019-04-20T06:00:00.0,43,45
2019-04-20T07:00:00.0,33,36
2019-04-20T08:00:00.0,30,43
2019-04-20T09:00:00.0,12,26
2019-04-20T10:00:00.0,8,14
2019-04-20T11:00:00.0,11,9
2019-04-20T12:00:00.0,5,4
2019-04-20T13:00:00.0,0,2
2019-04-20T14:00:00.0,0,2
2019-04-20T15:00:00.0,1,1
2019-04-20T16:00:00.0,1,2
2019-04-20T17:00:00.0,1,9
2019-04-20T18:00:00.0,5,19
2019-04-20T19:00:00.0,27,26
2019-04-20T20:00:00.0,32,24
2019-04-20T21:00:00.0,55,24
2019-04-20T22:00:00.0,44,26
2019-04-20T23:00:00.0,34,26
2019-04-21T00:00:00.0,39,38
2019-04-21T01:00:00.0,37,35
2019-04-21T02:00:00.0,44,45
2019-04-21T03:00:00.0,26,26
2019-04-21T04:00:00.0,19,19
2019-04-21T05:00:00.0,19,19
2019-04-21T06:00:00.0,10,10
2019-04-21T07:00:00.0,17,15
2019-04-21T08:00:00.0,39,16
2019-04-21T09:00:00.0,57,31
2019-04-21T10:00:00.0,56,30
2019-04-21T11:00:00.0,38,22
2019-04-21T12:00:00.0,24,16
2019-04-21T13:00:00.0,4,9
2019-04-21T14:00:00.0,1,5
2019-04-21T15:00:00.0,2,2
2019-04-21T16:00:00.0,4,2
2019-04-21T17:00:00.0,7,5
2019-04-21T18:00:00.0,6,9
2019-04-21T19:00:00.0,3,13
2019-04-21T20:00:00.0,2,18
2019-04-21T21:00:00.0,27,28
2019-04-21T22:00:00.0,85,47
2019-04-21T23:00:00.0,95,74
2019-04-22T00:00:00.0,139,129
2019-04-22T01:00:00.0,171,155
2019-04-22T02:00:00.0,208,199
2019-04-22T03:00:00.0,212,202
2019-04-22T04:00:00.0,212,203
2019-04-22T05:00:00.0,314,300
2019-04-22T06:00:00.0,370,355
2019-04-22T07:00:00.0,425,412
2019-04-22T08:00:00.0,492,463
2019-04-22T09:00:00.0,596,507
2019-04-22T10:00:00.0,638,537
2019-04-22T11:00:00.0,640,556
2019-04-22T12:00:00.0,726,563
2019-04-22T13:00:00.0,726,562
2019-04-22T14:00:00.0,637,563
2019-04-22T15:00:00.0,434,449
2019-04-22T16:00:00.0,426,481
2019-04-22T17:00:00.0,456,506
2019-04-22T18:00:00.0,459,533
2019-04-22T19:00:00.0,799,807
2019-04-22T20:00:00.0,912,883
2019-04-22T21:00:00.0,925,911
2019-04-22T22:00:00.0,933,914
2019-04-22T23:00:00.0,539,463
2019-04-23T00:00:00.0,527,489
2019-04-23T01:00:00.0,519,485
2019-04-23T02:00:00.0,518,481
2019-04-23T03:00:00.0,517,482
2019-04-23T04:00:00.0,521,485
2019-04-23T05:00:00.0,912,842
2019-04-23T06:00:00.0,921,884
2019-04-23T07:00:00.0,930,895
2019-04-23T08:00:00.0,944,890
2019-04-23T09:00:00.0,945,889
2019-04-23T10:00:00.0,952,892
2019-04-23T11:00:00.0,940,891
2019-04-23T12:00:00.0,503,508
2019-04-23T13:00:00.0,486,491
2019-04-23T14:00:00.0,500,507
2019-04-23T15:00:00.0,908,889
2019-04-23T16:00:00.0,913,895
2019-04-23T17:00:00.0,904,899
2019-04-23T18:00:00.0,909,905
2019-04-23T19:00:00.0,908,904
2019-04-23T20:00:00.0,926,902
2019-04-23T21:00:00.0,893,903
2019-04-23T22:00:00.0,877,903
2019-04-23T23:00:00.0,678,905
2019-04-24T00:00:00.0,729,691
2019-04-24T01:00:00.0,835,794
2019-04-24T02:00:00.0,875,826
2019-04-24T03:00:00.0,879,807
2019-04-24T04:00:00.0,870,829
2019-04-24T05:00:00.0,871,826
2019-04-24T06:00:00.0,874,827
2019-04-24T07:00:00.0,875,827
2019-04-24T08:00:00.0,849,829
2019-04-24T09:00:00.0,797,883
2019-04-24T10:00:00.0,790,880
2019-04-24T11:00:00.0,788,879
2019-04-24T12:00:00.0,905,877
2019-04-24T13:00:00.0,947,874
2019-04-24T14:00:00.0,948,871
2019-04-24T15:00:00.0,909,869
2019-04-24T16:00:00.0,938,872
2019-04-24T17:00:00.0,987,879
2019-04-24T18:00:00.0,992,893
2019-04-24T19:00:00.0,981,893
2019-04-24T20:00:00.0,946,893
2019-04-24T21:00:00.0,977,894
2019-04-24T22:00:00.0,973,894
2019-04-24T23:00:00.0,963,896
2019-04-25T00:00:00.0,931,893
2019-04-25T01:00:00.0,929,889
2019-04-25T02:00:00.0,877,847
2019-04-25T03:00:00.0,929,895
2019-04-25T04:00:00.0,883,890
2019-04-25T05:00:00.0,484,509
2019-04-25T06:00:00.0,509,430
2019-04-25T07:00:00.0,646,629
2019-04-25T08:00:00.0,542,502
2019-04-25T09:00:00.0,395,495
2019-04-25T10:00:00.0,285,441
2019-04-25T11:00:00.0,249,380
2019-04-25T12:00:00.0,282,334
2019-04-25T13:00:00.0,145,299
2019-04-25T14:00:00.0,71,291
2019-04-25T15:00:00.0,74,305
2019-04-25T16:00:00.0,120,336
2019-04-25T17:00:00.0,126,354
2019-04-25T18:00:00.0,146,351
2019-04-25T19:00:00.0,167,359
2019-04-25T20:00:00.0,273,405
2019-04-25T21:00:00.0,452,481
2019-04-25T22:00:00.0,543,545
2019-04-25T23:00:00.0,594,578
2019-04-26T00:00:00.0,607,517
2019-04-26T01:00:00.0,388,338
2019-04-26T02:00:00.0,306,230
2019-04-26T03:00:00.0,341,287
2019-04-26T04:00:00.0,222,207
2019-04-26T05:00:00.0,209,204
2019-04-26T06:00:00.0,265,243
2019-04-26T07:00:00.0,239,249
2019-04-26T08:00:00.0,188,275
2019-04-26T09:00:00.0,180,248
2019-04-26T10:00:00.0,245,187
2019-04-26T11:00:00.0,319,161
2019-04-26T12:00:00.0,171,149
2019-04-26T13:00:00.0,52,133
2019-04-26T14:00:00.0,17,120
2019-04-26T15:00:00.0,41,121
2019-04-26T16:00:00.0,88,130
2019-04-26T17:00:00.0,37,132
